match_id,minute,gold_adv,xp_adv,duration_min,radiant_win
8780072726,25,14982,18283,31.333333333333332,1
8780072726,26,15185,20351,31.333333333333332,1
8780072726,27,16004,21152,31.333333333333332,1
8780072726,28,20924,31545,31.333333333333332,1
8780072726,29,26352,35623,31.333333333333332,1
8780072726,30,29543,38406,31.333333333333332,1
8780072726,31,32923,41641,31.333333333333332,1
8780067754,0,0,0,33.5,0
8780067754,1,51,-3,33.5,0
8780067754,2,53,-132,33.5,0
8780067754,3,-220,-370,33.5,0
8780067754,4,-45,81,33.5,0
8780067754,5,128,312,33.5,0
8780067754,6,12,295,33.5,0
8780067754,7,469,783,33.5,0
8780067754,8,434,783,33.5,0
8780067754,9,579,764,33.5,0
8780067754,10,753,664,33.5,0
8780067754,11,484,1148,33.5,0
8780067754,12,-137,943,33.5,0
8780067754,13,-467,945,33.5,0
8780067754,14,-1330,-87,33.5,0
8780067754,15,-2147,-3038,33.5,0
8780067754,16,-2391,-2088,33.5,0
8780067754,17,-1229,-1092,33.5,0
8780067754,18,-470,4,33.5,0
8780067754,19,-194,1166,33.5,0
8780067754,20,-9,1072,33.5,0
8780067754,21,948,1493,33.5,0
8780067754,22,1661,3128,33.5,0
8780067754,23,2149,5957,33.5,0
8780067754,24,1669,4211,33.5,0
8780067754,25,4757,8541,33.5,0
8780067754,26,5009,7687,33.5,0
8780067754,27,4236,5738,33.5,0
8780067754,28,3619,4381,33.5,0
8780067754,29,1727,-3104,33.5,0
8780067754,30,-1578,-10004,33.5,0
8780067754,31,-4793,-15175,33.5,0
8780067754,32,-5185,-18345,33.5,0
8780067754,33,-7771,-18985,33.5,0
8780054728,0,0,0,27.783333333333335,1
8780054728,1,-75,-56,27.783333333333335,1
8780054728,2,197,49,27.783333333333335,1
8780054728,3,351,97,27.783333333333335,1
8780054728,4,-83,-438,27.783333333333335,1
8780054728,5,161,-251,27.783333333333335,1
8780054728,6,253,-108,27.783333333333335,1
8780054728,7,477,445,27.783333333333335,1
8780054728,8,1257,1097,27.783333333333335,1
8780054728,9,833,652,27.783333333333335,1
8780054728,10,-159,-124,27.783333333333335,1
8780054728,11,409,-390,27.783333333333335,1
8780054728,12,503,444,27.783333333333335,1
8780054728,13,601,1066,27.783333333333335,1
8780054728,14,1290,1692,27.783333333333335,1
8780054728,15,1680,1397,27.783333333333335,1
8780054728,16,2483,3557,27.783333333333335,1
8780054728,17,3831,4855,27.783333333333335,1
8780054728,18,5802,9462,27.783333333333335,1
8780054728,19,6851,12453,27.783333333333335,1
8780054728,20,7362,13061,27.783333333333335,1
8780054728,21,7866,12961,27.783333333333335,1
8780054728,22,6346,10312,27.783333333333335,1
8780054728,23,5614,8015,27.783333333333335,1
8780054728,24,5722,7889,27.783333333333335,1
8780054728,25,5926,10583,27.783333333333335,1
8780054728,26,6350,9254,27.783333333333335,1
8780054728,27,12494,17522,27.783333333333335,1
8780045164,0,0,0,56.4,0
8780045164,1,-386,-335,56.4,0
8780045164,2,119,134,56.4,0
8780045164,3,228,462,56.4,0
8780045164,4,628,968,56.4,0
8780045164,5,60,832,56.4,0
8780045164,6,310,1393,56.4,0
8780045164,7,-1,1079,56.4,0
8780045164,8,-141,1328,56.4,0
8780045164,9,-567,1521,56.4,0
8780045164,10,-153,1546,56.4,0
8780045164,11,-148,1295,56.4,0
8780045164,12,2575,4886,56.4,0
8780045164,13,3715,5763,56.4,0
8780045164,14,3489,5085,56.4,0
8780045164,15,3902,5723,56.4,0
8780045164,16,5288,8126,56.4,0
8780045164,17,5026,8212,56.4,0
8780045164,18,3989,4884,56.4,0
8780045164,19,2942,4278,56.4,0
8780045164,20,2639,3451,56.4,0
8780045164,21,3523,5419,56.4,0
8780045164,22,4201,5278,56.4,0
8780045164,23,4273,6667,56.4,0
8780045164,24,4493,7463,56.4,0
8780045164,25,3757,6013,56.4,0
8780045164,26,4343,7541,56.4,0
8780045164,27,3969,6920,56.4,0
8780045164,28,5182,10041,56.4,0
8780045164,29,8861,15861,56.4,0
8780045164,30,8931,15992,56.4,0
8780045164,31,10296,15758,56.4,0
8780045164,32,10826,13497,56.4,0
8780045164,33,9048,8655,56.4,0
8780045164,34,9362,7797,56.4,0
8780045164,35,9524,9323,56.4,0
8780045164,36,8983,11816,56.4,0
8780045164,37,7987,11319,56.4,0
8780045164,38,8171,11861,56.4,0
8780045164,39,7563,12129,56.4,0
8780045164,40,7136,12667,56.4,0
8780045164,41,7198,12876,56.4,0
8780045164,42,6270,9261,56.4,0
8780045164,43,3695,10225,56.4,0
8780045164,44,1687,8411,56.4,0
8780045164,45,1846,9435,56.4,0
8780045164,46,278,7071,56.4,0
8780045164,47,-427,4681,56.4,0
8780045164,48,-6569,-1599,56.4,0
8780045164,49,-9525,-3602,56.4,0
8780045164,50,-12222,-6354,56.4,0
8780045164,51,-13164,-9751,56.4,0
8780045164,52,-12848,-11296,56.4,0
8780045164,53,-9500,-3995,56.4,0
8780045164,54,-5527,5405,56.4,0
